id,doi,titulo,ano,citacoes,fwci
https://openalex.org/W4403102965,https://doi.org/10.1002/sd.3221,<scp>AI</scp>‐driven adaptive learning for sustainable educational transformation,2024,394,265.8389
https://openalex.org/W4403258450,https://doi.org/10.1016/j.spc.2024.09.025,"Global projections of plastic use, end-of-life fate and potential changes in consumption, reduction, recycling and replacement with bioplastics to 2050",2024,307,34.7264
https://openalex.org/W4403530914,https://doi.org/10.1016/j.heha.2024.100114,"Artificial intelligence in environmental monitoring: Advancements, challenges, and future directions",2024,247,43.3529
https://openalex.org/W4402923059,https://doi.org/10.1057/s41599-024-03811-x,AI hallucination: towards a comprehensive classification of distorted information in artificial intelligence-generated content,2024,233,223.6237
https://openalex.org/W4405008648,https://doi.org/10.56294/dm2025521,Intelligent Data-Driven Task Offloading Framework for Internet of Vehicles Using Edge Computing and Reinforcement Learning,2024,200,62.4419
https://openalex.org/W4404619538,https://doi.org/10.1039/d4va00136b,Innovative approaches to sustainable wastewater treatment: a comprehensive exploration of conventional and emerging technologies,2024,185,46.1257
https://openalex.org/W4402858717,https://doi.org/10.1093/jamia/ocae209,Toward a responsible future: recommendations for AI-enabled clinical decision support,2024,145,14.6185
https://openalex.org/W4404127725,https://doi.org/10.1007/s10462-024-11005-9,Robustness in deep learning models for medical diagnostics: security and adversarial challenges towards robust AI applications,2024,138,41.1245
https://openalex.org/W4403492460,https://doi.org/10.3390/app14209348,"A Comprehensive Literature Review on Hydrogen Tanks: Storage, Safety, and Structural Integrity",2024,132,164.3075
https://openalex.org/W4403749142,https://doi.org/10.1057/s41599-024-03947-w,Artificial intelligence for low income countries,2024,125,35.4627
https://openalex.org/W4403544528,https://doi.org/10.3390/su16209021,Exploring the Role of Tourist Pro-Environmental Behavior in Autonomous Vehicle Adoption: A TPB and PLS-SEM Approach,2024,121,21.6531
https://openalex.org/W4404197707,https://doi.org/10.1016/j.jik.2024.100610,Determinants of digital technology adoption in innovative SMEs,2024,119,72.0625
